timestamp,open,high,low,close,volume,close_timestamp,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1638230400000,204.1,218.28,199.55,208.53,2176734,1638316799999,457195000.0,733363,1041380.0,218887000.0
1638316800000,208.52,232.63,207.89,229.81,2589478,1638403199999,577829000.0,1057522,1298620.0,289619000.0
1638403200000,229.81,243.12,220.0,233.6,3042713,1638489599999,700072000.0,1248113,1495100.0,344340000.0
1638489600000,233.59,239.37,204.68,211.65,2867134,1638575999999,641505000.0,1049117,1397340.0,312685000.0
1638576000000,211.65,212.62,169.0,200.67,4895759,1638662399999,954138000.0,1532975,2421790.0,472560000.0
1638662400000,200.68,204.51,181.44,196.43,2482292,1638748799999,478707000.0,770294,1248920.0,240978000.0
1638748800000,196.49,197.71,176.17,193.56,2815246,1638835199999,527019000.0,768624,1393530.0,260993000.0
1638835200000,193.57,204.1,187.26,190.19,1939708,1638921599999,381922000.0,534598,981253.0,193336000.0
1638921600000,190.24,196.27,183.5,194.61,1670678,1639007999999,317713000.0,452538,858901.0,163496000.0
1639008000000,194.61,196.6,178.64,181.11,1664934,1639094399999,310244000.0,431652,793969.0,147998000.0
1639094400000,181.08,184.6,167.0,167.39,1862907,1639180799999,328446000.0,480714,906732.0,160015000.0
1639180800000,167.39,173.8,161.33,172.15,1541656,1639267199999,260638000.0,399298,748562.0,126608000.0
1639267200000,172.15,176.85,167.64,172.8,976616,1639353599999,167631000.0,265874,497798.0,85498700.0
1639353600000,172.83,172.83,148.04,155.21,2470232,1639439999999,394240000.0,557560,1164090.0,185804000.0
1639440000000,155.2,163.35,149.6,161.26,2151409,1639526399999,336483000.0,482948,1090000.0,170549000.0
1639526400000,161.25,182.64,156.81,178.52,3328551,1639612799999,563216000.0,838776,1688280.0,286051000.0
1639612800000,178.53,189.0,174.37,176.86,2482901,1639699199999,452932000.0,650522,1319580.0,240923000.0
1639699200000,176.89,182.5,167.88,175.51,2308613,1639785599999,406620000.0,593797,1135290.0,199980000.0
1639785600000,175.48,184.24,170.96,182.78,1218449,1639871999999,217403000.0,351212,599022.0,106938000.0
1639872000000,182.78,189.43,177.99,179.93,1217883,1639958399999,224029000.0,389005,611367.0,112553000.0
1639958400000,179.9,181.18,168.49,173.9,1448186,1640044799999,252805000.0,366776,693432.0,121118000.0
1640044800000,173.9,182.54,170.27,179.63,1302767,1640131199999,232063000.0,368859,650270.0,115867000.0
1640131200000,179.62,187.55,177.05,178.4,1379639,1640217599999,252283000.0,397883,687720.0,125761000.0
1640217600000,178.38,193.5,175.64,190.03,1726907,1640303999999,318109000.0,529807,905198.0,167052000.0
1640304000000,190.08,197.55,184.14,190.36,1657464,1640390399999,316617000.0,514169,852864.0,162990000.0
1640390400000,190.37,195.0,189.08,193.1,1047152,1640476799999,201293000.0,318427,585821.0,112628000.0
1640476800000,193.03,200.59,190.22,197.81,1539530,1640563199999,301974000.0,452500,875746.0,171824000.0
1640563200000,197.85,204.75,194.71,195.67,1218500,1640649599999,243841000.0,411501,599610.0,120104000.0
1640649600000,195.68,195.68,176.2,177.32,1997243,1640735999999,371876000.0,537797,988753.0,184110000.0
1640736000000,177.28,180.62,170.01,170.63,1540604,1640822399999,269858000.0,395718,742155.0,130053000.0
1640822400000,170.65,175.74,168.17,172.52,1022709,1640908799999,176483000.0,267354,511543.0,88270500.0
1640908800000,172.53,177.65,167.67,169.99,1026603,1640995199999,177345000.0,269799,502816.0,86887900.0
1640995200000,170.01,179.2,169.93,179.06,634599,1641081599999,110585000.0,179793,328250.0,57202300.0
1641081600000,179.06,179.53,174.31,176.35,620087,1641167999999,109509000.0,176256,313106.0,55294200.0
1641168000000,176.34,176.49,166.59,170.15,1031316,1641254399999,177240000.0,250131,537424.0,92331400.0
1641254400000,170.14,173.93,166.47,167.72,1041333,1641340799999,176538000.0,264666,507127.0,86029900.0
1641340800000,167.74,171.32,144.92,154.52,1659848,1641427199999,266980000.0,460130,775826.0,125014000.0
